epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
116,279.597,0.87696,0.58301,0.00728,0.83499,0.32982,0.40732,0.27671,1.92272,1.46892,0.00821,0.00682392,0.00682392,0.00682392
117,282.08,0.86986,0.57276,0.00702,0.85793,0.3293,0.45484,0.28248,1.82166,1.41849,0.00786,0.00677543,0.00677543,0.00677543
118,284.409,0.80723,0.53663,0.00688,0.58414,0.44748,0.47463,0.29489,1.82951,1.43169,0.00766,0.00672675,0.00672675,0.00672675
119,286.702,0.84754,0.58198,0.00737,0.63948,0.49799,0.49322,0.3076,1.85454,1.43298,0.00754,0.00667789,0.00667789,0.00667789
120,288.984,0.80351,0.52226,0.00636,0.77487,0.47754,0.53342,0.33191,1.82026,1.43052,0.00734,0.00662885,0.00662885,0.00662885
121,291.314,0.78822,0.4986,0.00593,0.79699,0.46349,0.51487,0.29632,1.88145,1.4863,0.00785,0.00657963,0.00657963,0.00657963
122,293.696,0.8235,0.55793,0.00746,0.80434,0.46542,0.50888,0.29378,1.92398,1.50501,0.00812,0.00653025,0.00653025,0.00653025
123,296.05,0.82298,0.56114,0.00623,0.7498,0.41792,0.43885,0.27826,1.93256,1.6104,0.00806,0.00648071,0.00648071,0.00648071
124,298.367,0.86692,0.54289,0.00767,0.70449,0.4169,0.4483,0.30074,1.99768,1.67862,0.00843,0.00643101,0.00643101,0.00643101
125,300.731,0.80601,0.49842,0.00721,0.60704,0.41405,0.41883,0.28552,1.98857,1.7096,0.00829,0.00638115,0.00638115,0.00638115
126,303.065,0.73054,0.47443,0.00602,0.5779,0.42066,0.39496,0.2658,2.00455,1.56746,0.00852,0.00633115,0.00633115,0.00633115
127,305.509,0.7672,0.48523,0.00585,0.64638,0.44625,0.41268,0.27723,1.92709,1.33774,0.00835,0.00628101,0.00628101,0.00628101
128,307.826,0.76878,0.51414,0.00616,0.70444,0.38505,0.41398,0.2704,1.91808,1.3549,0.00838,0.00623074,0.00623074,0.00623074
129,310.102,0.77001,0.50587,0.00596,0.64381,0.43747,0.40755,0.2554,1.95208,1.48436,0.00854,0.00618034,0.00618034,0.00618034
130,312.429,0.74248,0.48555,0.00566,0.6889,0.39622,0.43096,0.2461,1.93158,1.54107,0.00853,0.00612981,0.00612981,0.00612981
131,314.734,0.74355,0.52714,0.00571,0.56711,0.38426,0.35412,0.20498,1.97757,1.64066,0.00869,0.00607916,0.00607916,0.00607916
132,317.015,0.76977,0.50051,0.0068,0.47933,0.41018,0.34585,0.21306,2.00031,1.50068,0.00878,0.0060284,0.0060284,0.0060284
133,319.43,0.81541,0.48756,0.00657,0.74794,0.37667,0.41429,0.22259,1.9719,1.27283,0.00848,0.00597754,0.00597754,0.00597754
134,321.797,0.79539,0.52517,0.00661,0.63266,0.42125,0.44593,0.29206,2.00853,1.1526,0.00857,0.00592657,0.00592657,0.00592657
135,324.184,0.81055,0.56178,0.00637,0.59151,0.36549,0.34304,0.22516,2.21139,1.62517,0.01042,0.00587551,0.00587551,0.00587551
136,326.544,0.76266,0.49101,0.00593,0.58449,0.21634,0.21993,0.14039,2.5416,2.34396,0.01282,0.00582435,0.00582435,0.00582435
137,328.933,0.7212,0.47615,0.00579,0.78363,0.24294,0.27455,0.19025,2.39547,2.0587,0.01151,0.00577311,0.00577311,0.00577311
138,331.415,0.77747,0.4816,0.0065,0.76734,0.33276,0.4152,0.2813,2.0341,1.40539,0.00858,0.00572179,0.00572179,0.00572179
139,333.754,0.75784,0.4597,0.00553,0.65115,0.45944,0.49793,0.31958,1.8655,1.27346,0.00746,0.0056704,0.0056704,0.0056704
140,336.036,0.72224,0.45284,0.00552,0.60999,0.48698,0.48631,0.31599,1.89258,1.18651,0.00758,0.00561894,0.00561894,0.00561894
141,338.353,0.76665,0.48263,0.00601,0.67167,0.42974,0.49011,0.30353,1.89602,1.17543,0.00758,0.00556742,0.00556742,0.00556742
142,340.759,0.76726,0.48008,0.00654,0.62167,0.43532,0.51139,0.29748,1.94905,1.22967,0.00788,0.00551584,0.00551584,0.00551584
143,343.179,0.7791,0.51986,0.00604,0.70251,0.40951,0.447,0.28468,2.015,1.44726,0.00823,0.00546421,0.00546421,0.00546421
144,345.59,0.6839,0.4458,0.00637,0.68324,0.39912,0.41455,0.27859,2.0216,1.61148,0.00829,0.00541253,0.00541253,0.00541253
145,347.919,0.64842,0.36622,0.00546,0.6335,0.40739,0.41042,0.28634,2.02562,1.71156,0.00831,0.00536081,0.00536081,0.00536081
146,350.294,0.81754,0.52044,0.00619,0.70112,0.39622,0.39133,0.27537,2.00283,1.78329,0.00823,0.00530906,0.00530906,0.00530906
147,352.736,0.71431,0.41054,0.0058,0.75903,0.38204,0.40328,0.27024,2.02308,1.81001,0.0085,0.00525728,0.00525728,0.00525728
148,355.066,0.75467,0.4648,0.00641,0.80028,0.3815,0.41526,0.28251,2.00574,1.72388,0.0085,0.00520548,0.00520548,0.00520548
149,357.409,0.70434,0.44475,0.0059,0.82081,0.37893,0.42198,0.30239,2.06987,1.65556,0.00885,0.00515366,0.00515366,0.00515366
150,359.735,0.77649,0.4773,0.00654,0.81098,0.38505,0.42298,0.30177,2.07983,1.64769,0.009,0.00510184,0.00510184,0.00510184
151,362.008,0.75,0.45033,0.00663,0.7536,0.341,0.39152,0.25524,2.04205,1.68628,0.00869,0.00505,0.00505,0.00505
152,364.41,0.73512,0.46953,0.00608,0.69799,0.35496,0.38409,0.25934,2.04718,1.71483,0.00868,0.00499816,0.00499816,0.00499816
153,366.785,0.69492,0.42346,0.00569,0.49055,0.39572,0.37551,0.24368,2.10594,1.65039,0.00925,0.00494634,0.00494634,0.00494634
154,369.159,0.81599,0.54707,0.00702,0.92252,0.28729,0.40714,0.27427,2.05614,1.40432,0.00898,0.00489452,0.00489452,0.00489452
155,371.477,0.77942,0.48575,0.00666,0.55559,0.3829,0.42181,0.28821,2.09115,1.27636,0.00918,0.00484272,0.00484272,0.00484272
156,373.863,0.73481,0.46768,0.00625,0.54328,0.37452,0.43032,0.28811,2.12436,1.37055,0.00924,0.00479094,0.00479094,0.00479094
157,376.187,0.74319,0.44043,0.00618,0.6407,0.34658,0.41046,0.25172,2.2143,1.64482,0.00971,0.00473919,0.00473919,0.00473919
158,378.597,0.78246,0.49965,0.00648,0.51805,0.39901,0.37614,0.23066,2.13979,1.73322,0.00919,0.00468747,0.00468747,0.00468747
159,380.898,0.8189,0.47303,0.00739,0.59493,0.39343,0.38522,0.24636,2.11036,1.84831,0.00917,0.00463579,0.00463579,0.00463579
160,383.341,0.77963,0.42286,0.00621,0.63211,0.34658,0.37898,0.27105,2.09666,1.95962,0.00896,0.00458416,0.00458416,0.00458416
161,385.662,0.76111,0.45228,0.0061,0.82316,0.341,0.42675,0.28598,2.08317,2.01844,0.00879,0.00453258,0.00453258,0.00453258
162,387.977,0.75846,0.43146,0.0068,0.7198,0.39343,0.44894,0.29197,2.01569,1.84094,0.00849,0.00448106,0.00448106,0.00448106
163,390.498,0.7313,0.39679,0.00571,0.8996,0.37667,0.48194,0.30969,1.97468,1.73571,0.00807,0.0044296,0.0044296,0.0044296
164,392.865,0.74461,0.45874,0.00609,0.89757,0.36829,0.48249,0.30743,1.97226,1.79159,0.00799,0.00437821,0.00437821,0.00437821
165,395.195,0.72415,0.43333,0.0062,0.79224,0.37667,0.4683,0.28975,1.97765,1.85629,0.00815,0.00432689,0.00432689,0.00432689
166,397.626,0.70278,0.40488,0.00547,0.87773,0.32424,0.42628,0.26731,1.99736,1.86278,0.00834,0.00427565,0.00427565,0.00427565
167,399.953,0.65979,0.41406,0.00525,0.85036,0.32043,0.40241,0.26687,2.09382,1.98919,0.00885,0.00422449,0.00422449,0.00422449
168,402.337,0.67228,0.4086,0.00613,0.83478,0.32204,0.38912,0.26003,2.07153,2.15668,0.00877,0.00417343,0.00417343,0.00417343
169,404.646,0.74084,0.50272,0.00623,0.72232,0.31991,0.37765,0.24513,2.10778,2.44916,0.00883,0.00412246,0.00412246,0.00412246
170,406.93,0.74856,0.45386,0.00612,0.64049,0.3382,0.36927,0.24019,2.1237,2.51724,0.00904,0.0040716,0.0040716,0.0040716
171,409.292,0.6994,0.40466,0.00505,0.697,0.3827,0.36985,0.23581,2.19272,2.44466,0.00945,0.00402084,0.00402084,0.00402084
172,411.604,0.71561,0.40499,0.0059,0.70715,0.38784,0.38045,0.23835,2.19261,2.3451,0.00946,0.00397019,0.00397019,0.00397019
173,414.037,0.7811,0.48485,0.00645,0.66886,0.4018,0.37758,0.23814,2.16896,1.94596,0.00945,0.00391966,0.00391966,0.00391966
174,416.362,0.73498,0.42176,0.0061,0.65307,0.41041,0.40388,0.25491,2.0708,1.63464,0.00892,0.00386926,0.00386926,0.00386926
175,418.715,0.685,0.42525,0.00588,0.81124,0.34919,0.40351,0.26003,2.02549,1.59173,0.00854,0.00381899,0.00381899,0.00381899
176,421.064,0.69064,0.42174,0.00549,0.94815,0.33401,0.40243,0.26866,2.03385,1.61195,0.00851,0.00376885,0.00376885,0.00376885
177,423.394,0.61831,0.36116,0.00522,0.86219,0.35999,0.40307,0.27282,1.97874,1.69255,0.00827,0.00371885,0.00371885,0.00371885
178,425.79,0.58007,0.34672,0.00474,0.81857,0.37424,0.4483,0.28032,2.01046,1.60955,0.0087,0.00366899,0.00366899,0.00366899
179,428.091,0.7155,0.40262,0.00571,0.88162,0.40739,0.44343,0.29091,2.04071,1.53809,0.00892,0.00361929,0.00361929,0.00361929
180,430.391,0.68397,0.39192,0.00591,0.8728,0.41018,0.44969,0.29368,2.03302,1.48573,0.00877,0.00356975,0.00356975,0.00356975
181,432.697,0.69484,0.41331,0.00569,0.85736,0.40749,0.43774,0.30585,2.03661,1.55522,0.00883,0.00352037,0.00352037,0.00352037
182,435.05,0.78229,0.52807,0.00657,0.89706,0.38505,0.42804,0.29367,2.03003,1.64981,0.00884,0.00347115,0.00347115,0.00347115
