epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,213.366,0.486,0.38545,0.90977,0.60543,0.41182,0.43791,0.22229,1.491,1.15779,1.19083,0.00161464,0.00161464,0.00161464
116,215.198,0.45723,0.36083,0.88597,0.68564,0.45767,0.56765,0.29981,1.26095,0.88177,1.06641,0.00161373,0.00161373,0.00161373
117,217.028,0.53001,0.39298,0.92728,0.61864,0.59046,0.57904,0.3368,1.24855,0.78701,1.06874,0.00161281,0.00161281,0.00161281
118,218.856,0.45633,0.35471,0.90929,0.67484,0.52099,0.55833,0.33226,1.31696,0.80176,1.14326,0.00161188,0.00161188,0.00161188
119,220.664,0.49348,0.36458,0.89772,0.65072,0.56814,0.53889,0.32044,1.29859,0.85949,1.10472,0.00161095,0.00161095,0.00161095
120,222.499,0.47156,0.35925,0.91559,0.5661,0.54255,0.51544,0.34842,1.33127,0.8881,1.13508,0.00161,0.00161,0.00161
121,224.308,0.45193,0.34634,0.90554,0.70533,0.49042,0.53663,0.3085,1.26326,0.81382,1.11134,0.00160905,0.00160905,0.00160905
122,226.137,0.45596,0.36575,0.91469,0.79367,0.45294,0.5485,0.2984,1.35192,0.8727,1.16026,0.0016081,0.0016081,0.0016081
123,227.95,0.46854,0.34516,0.89454,0.63409,0.47164,0.50303,0.28575,1.3579,0.88734,1.14976,0.00160713,0.00160713,0.00160713
124,229.901,0.43173,0.34658,0.90139,0.48504,0.54815,0.44357,0.26601,1.37272,0.93288,1.14844,0.00160616,0.00160616,0.00160616
125,231.738,0.43549,0.3443,0.89363,0.56334,0.42545,0.39382,0.23029,1.44688,1.02682,1.1858,0.00160518,0.00160518,0.00160518
126,233.578,0.52632,0.39295,0.95119,0.6516,0.4018,0.42863,0.21551,1.55662,1.155,1.21307,0.00160419,0.00160419,0.00160419
127,235.411,0.46917,0.37345,0.8972,0.53184,0.42415,0.36528,0.22522,1.45635,1.17083,1.15165,0.00160319,0.00160319,0.00160319
128,237.233,0.51107,0.42937,0.95067,0.55074,0.47379,0.40408,0.22173,1.5253,1.30084,1.1864,0.00160219,0.00160219,0.00160219
129,239.071,0.45133,0.36687,0.89862,0.48517,0.46188,0.38275,0.22786,1.45016,1.29087,1.165,0.00160118,0.00160118,0.00160118
130,240.892,0.47081,0.35875,0.89106,0.51701,0.45078,0.44075,0.23079,1.46704,1.24816,1.14915,0.00160016,0.00160016,0.00160016
131,242.721,0.5155,0.387,0.92153,0.73634,0.27599,0.37612,0.20529,1.48202,1.51493,1.15859,0.00159913,0.00159913,0.00159913
132,244.535,0.48817,0.35873,0.91635,0.57193,0.35991,0.41238,0.20354,1.69631,1.84749,1.24539,0.0015981,0.0015981,0.0015981
133,246.362,0.47874,0.36329,0.8975,0.75843,0.49269,0.5449,0.29293,1.38293,1.22385,1.08215,0.00159706,0.00159706,0.00159706
134,248.168,0.4938,0.36436,0.8996,0.68694,0.58982,0.6499,0.36524,1.2232,0.8702,1.02123,0.00159601,0.00159601,0.00159601
135,249.98,0.48504,0.38432,0.8894,0.80931,0.57585,0.62209,0.39028,1.16135,0.80256,0.99056,0.00159496,0.00159496,0.00159496
136,251.826,0.50725,0.37318,0.90826,0.77757,0.62942,0.60932,0.36503,1.23217,0.84405,1.01944,0.00159389,0.00159389,0.00159389
137,253.663,0.48375,0.38274,0.91579,0.72206,0.60203,0.60401,0.30557,1.32562,0.928,1.06905,0.00159282,0.00159282,0.00159282
138,255.656,0.4783,0.36146,0.92651,0.65019,0.53254,0.56211,0.30322,1.32439,0.92748,1.08213,0.00159174,0.00159174,0.00159174
139,257.501,0.48758,0.36639,0.89433,0.63455,0.4856,0.50753,0.2904,1.32001,0.92836,1.08018,0.00159066,0.00159066,0.00159066
140,259.334,0.46079,0.36502,0.89061,0.46115,0.48904,0.45568,0.28676,1.35161,0.91887,1.106,0.00158957,0.00158957,0.00158957
141,261.199,0.44861,0.34146,0.86814,0.5162,0.40933,0.47037,0.29781,1.29266,0.83624,1.11165,0.00158847,0.00158847,0.00158847
142,263.022,0.45744,0.36447,0.91788,0.82461,0.39923,0.44521,0.28652,1.31833,0.86163,1.10729,0.00158736,0.00158736,0.00158736
143,264.834,0.42473,0.33168,0.88194,0.81617,0.392,0.44091,0.29292,1.3578,0.89709,1.13067,0.00158624,0.00158624,0.00158624
144,266.67,0.59833,0.47341,1.0421,0.78629,0.42039,0.50386,0.30684,1.44131,0.98392,1.1455,0.00158512,0.00158512,0.00158512
